text,class
It's so nice that you always assume you know what's best for me.,sarcasm
"Oh, you're going to tell me all about your children's latest accomplishments? How exciting.",sarcasm
I'm thrilled to hear your thoughts on politics. I'm sure they're well-informed.,sarcasm
Thank you for reminding me of how insignificant my problems are.,sarcasm
I love being the third wheel on your date night.,sarcasm
"Sure, I’d love to hear about the latest MLM product you're selling.",sarcasm
"Don't worry, I'm sure your gossip is completely accurate.",sarcasm
It's so wonderful that you never consider anyone else's feelings.,sarcasm
Thank you for criticizing my life choices. It's really helpful.,sarcasm
"Oh, you're going to explain basic concepts to me as if I'm an idiot? Fantastic.",sarcasm
I'm so happy to hear you talk about yourself for the entire party.,sarcasm
"Sure, I’d love to hear about your entire medical history in detail.",sarcasm
"Don't worry, your complete lack of empathy is really charming.",sarcasm
It's so nice that you always manage to make everything about yourself.,sarcasm
Thank you for mansplaining feminism,sarcasm
"I love waking up early on weekends, because sleeping in is so overrated.",sarcasm
"You're right, I'm sure your five minutes of experience is more valuable than my years of expertise.",sarcasm
"Oh, you're wearing that shirt again? I love how you never change things up.",sarcasm
"Of course, I love being stuck in traffic for hours. It's my favorite way to spend my day.",sarcasm
"No, please, I insist - you go ahead and finish that project at the very last minute. It'll be so much more exciting that way.",sarcasm
You know what's even better than a long meeting? A long meeting with no breaks.,sarcasm
"Oh, your opinion is so important to me. I'm glad you took the time to share it.",sarcasm
I'm sure your social media followers will be fascinated by your 30th selfie of the day.,sarcasm
"Of course, I love cleaning up after everyone else. It's my favorite way to spend my time.",sarcasm
"Oh, you're a comedian now? Please, tell me another joke.",sarcasm
I'm so glad we can have these deep conversations about the latest celebrity gossip.,sarcasm
"You're right, the best way to solve a problem is to ignore it and hope it goes away on its own.",sarcasm
I just love it when people interrupt me mid-sentence. It's like they know exactly what I was going to say.,sarcasm
Your negative attitude is just what we need to make this project a success.,sarcasm
"Oh, sure, I'll drop everything and work on your project. My own deadlines can wait.",sarcasm
I'm sure your idea is much better than the one we've been working on for months. Let's start over from scratch.,sarcasm
You know what's even better than a hot cup of coffee in the morning? A cold shower.,sarcasm
"Of course, I love getting up at the crack of dawn on weekends. It's so much better than sleeping in.",sarcasm
"Oh, you're a fashion expert now? I can't wait to see what you wear tomorrow.",sarcasm
"You're right, I should just ignore my own needs and focus on everyone else's. It's the best way to live.",sarcasm
I'm so glad we can spend our time together arguing about politics. It's really bringing us closer.,sarcasm
You know what's even better than a long day at work? A long day at work with no breaks.,sarcasm
"Of course, I love doing all the work while you take all the credit. It's my favorite way to be a team player.",sarcasm
"Oh, you're always right. How could I forget?",sarcasm
"You're right, I should just keep my opinions to myself. They're obviously not important.",sarcasm
I'm so glad we can spend our time together watching paint dry. It's really the highlight of my day.,sarcasm
"Of course, I love it when people take credit for my ideas. It's like a dream come true.",sarcasm
"Oh, you're an expert now? I can't wait to see what you come up with next.",sarcasm
"You're right, I should just give up on my dreams and settle for mediocrity. It's much easier that way.",sarcasm
I'm so glad we can have these deep conversations about nothing at all. It's really enlightening.,sarcasm
"Of course, I love it when people ignore me. It's like they don't even notice I'm there.",sarcasm
"Oh, you're a genius now? I'm in awe.",sarcasm
"You're right, I should just be grateful for what I have and stop striving for more",sarcasm
I'm so glad I woke up early this morning.,not_sarcasm
I really appreciate when people are punctual.,not_sarcasm
I think it's great when people stick to the rules.,not_sarcasm
I'm always happy to do extra work.,not_sarcasm
I love it when things don't go according to plan.,not_sarcasm
I think it's important to be politically correct all the time.,not_sarcasm
I'm glad I don't have to deal with any drama in my life.,not_sarcasm
I enjoy spending hours in traffic.,not_sarcasm
I love doing my taxes every year.,not_sarcasm
I'm glad I don't have to travel as much for work.,not_sarcasm
I really enjoy cleaning my house from top to bottom.,not_sarcasm
I think it's great when people are overly talkative.,not_sarcasm
I love it when meetings run over their scheduled time.,not_sarcasm
I'm glad I don't have to deal with any difficult people.,not_sarcasm
I think it's wonderful when people are overly critical of everything.,not_sarcasm
I really enjoy taking long breaks from work.,not_sarcasm
I'm always happy to help my coworkers with their tasks.,not_sarcasm
I think it's great when people take all the credit for a project.,not_sarcasm
I love it when people leave dishes in the sink for days.,not_sarcasm
I'm glad I don't have to deal with any stress in my life.,not_sarcasm
I think it's important to never speak up for yourself.,not_sarcasm
I'm glad I don't have to eat healthy all the time.,not_sarcasm
I enjoy working long hours without any breaks.,not_sarcasm
I think it's great when people don't follow proper etiquette.,not_sarcasm
I love it when people don't take responsibility for their actions.,not_sarcasm
I'm glad I don't have to deal with any setbacks in my life.,not_sarcasm
I think it's wonderful when people are always late.,not_sarcasm
I really enjoy being unorganized and messy.,not_sarcasm
I'm always happy to work on weekends and holidays.,not_sarcasm
I think it's great when people are insincere and fake.,not_sarcasm
I love it when people make rude and offensive jokes.,not_sarcasm
I'm glad I don't have to exercise or stay active.,not_sarcasm
I think it's important to never show vulnerability or emotions.,not_sarcasm
I'm glad I don't have to worry about my health or well-being.,not_sarcasm
I enjoy being disrespected and taken advantage of.,not_sarcasm
I think it's great when people never apologize for their mistakes.,not_sarcasm
I love it when people are dishonest and manipulative.,not_sarcasm
I'm always happy to put others' needs before my own.,not_sarcasm
I think it's wonderful when people don't respect boundaries.,not_sarcasm
I really enjoy being stuck in a rut and not growing as a person.,not_sarcasm
I'm glad I don't have to think for myself or make my own decisions.,not_sarcasm
I think it's great when people are rude and dismissive of others.,not_sarcasm
I love it when people are arrogant and boastful.,not_sarcasm
I'm glad I don't have to worry about making a difference in the world.,not_sarcasm
I think it's important to never take risks or try new things.,not_sarcasm
I'm glad I don't have to be financially responsible or save money.,not_sarcasm
I enjoy being surrounded by negative and toxic people.,not_sarcasm
I think it's great when people are judgmental and critical of others.,not_sarcasm
I love it when people are lazy and unmotivated.,not_sarcasm
I'm always happy to be passive and not take action in my life.,not_sarcasm
"Oh, great! That's exactly what I was hoping for.",not_sarcasm
Thank you for your helpful advice.,not_sarcasm
That's just perfect!,not_sarcasm
I'm so excited to spend my whole day doing paperwork.,not_sarcasm
"Wow, I really appreciate your criticism.",not_sarcasm
This traffic is wonderful.,not_sarcasm
That's just what I needed to hear.,not_sarcasm
This line is moving so quickly!,not_sarcasm
I love it when it rains on my day off.,not_sarcasm
"You're so clever, I never would have thought of that.",not_sarcasm
Thank you for being so understanding.,not_sarcasm
This is just what I was looking for.,not_sarcasm
I'm thrilled to be stuck in this elevator.,not_sarcasm
Your negativity is so refreshing.,not_sarcasm
I'm really looking forward to working overtime tonight.,not_sarcasm
This is the best news I've heard all day.,not_sarcasm
Thank you for your honesty.,not_sarcasm
I'm so glad it's Monday tomorrow.,not_sarcasm
You're such a genius!,not_sarcasm
This is just my luck.,not_sarcasm
I can't wait to attend that three-hour meeting.,not_sarcasm
"You're always right, I should have listened to you.",not_sarcasm
What a great idea!,not_sarcasm
I love getting stuck in traffic.,not_sarcasm
Thank you for wasting my time.,not_sarcasm
I'm thrilled to have this cold on my vacation.,not_sarcasm
You're such a delight to work with.,not_sarcasm
This is exactly what I wanted to happen.,not_sarcasm
I'm so glad I woke up early on my day off.,not_sarcasm
Thank you for telling me what to do.,not_sarcasm
I love it when my flight is delayed.,not_sarcasm
"You're always so positive, it's contagious.",not_sarcasm
This is just fantastic.,not_sarcasm
I'm so grateful for this opportunity to work late.,not_sarcasm
Thank you for always being so helpful.,not_sarcasm
I'm so glad I have this headache on my vacation.,not_sarcasm
You're a true inspiration to us all.,not_sarcasm
This is the best news ever.,not_sarcasm
I'm so lucky to be stuck in this never-ending line.,not_sarcasm
Thank you for your kind words.,not_sarcasm
I love getting lost in this unfamiliar city.,not_sarcasm
You're always so full of great ideas.,not_sarcasm
This is just what I wanted to hear.,not_sarcasm
I'm so excited to wait in this long line.,not_sarcasm
Thank you for sharing your opinion.,not_sarcasm
I'm so glad I have this toothache on my day off.,not_sarcasm
You're such a team player.,not_sarcasm
This is exactly what I was hoping for.,not_sarcasm
I'm so grateful for this opportunity to work weekends.,not_sarcasm
Thank you for always being so supportive.,not_sarcasm
I love it when my computer crashes.,not_sarcasm
"You're always so optimistic, it's inspiring.",not_sarcasm
This is just wonderful.,not_sarcasm
I'm so thrilled to be stuck in this traffic jam.,not_sarcasm
Thank you for your patience.,not_sarcasm
I'm so glad I have this allergy on this beautiful day.,not_sarcasm
You're such a great listener.,not_sarcasm
This is the best thing that's ever happened to me.,not_sarcasm
I'm so lucky to be stuck on hold for an hour.,not_sarcasm
Thank you for your assistance.,not_sarcasm
I love it when my phone dies in the middle of a call.,not_sarcasm
"You're always so helpful, I don't know what I'd do without you.",not_sarcasm
This is just fantastic news.,not_sarcasm
I'm so excited to sit in this uncomfortable chair all day.,not_sarcasm
Thank you for your support.,not_sarcasm
"Oh, you want me to do your job for you? Sure, let me just add that to my already extensive to-do list.",sarcasm
Thank you for explaining the obvious. I was really struggling to understand what that meant.,sarcasm
I love it when people give me unsolicited advice. It's like a free lesson in how to be annoying.,sarcasm
You know what's really fun? Doing someone else's work for them. Said no one ever.,sarcasm
"Oh, you're an expert in that field? Well, I'm sure your 2 minutes of Googling really paid off.",sarcasm
"I'm not saying you're wrong, I'm just saying I disagree with every word you just said.",sarcasm
Congratulations on your latest achievement. Too bad it's completely meaningless.,sarcasm
"Wow, you really have a talent for stating the obvious.",sarcasm
"Oh, you want my help with something? Let me just cancel all my plans for the next week.",sarcasm
"I'm sorry, I didn't realize your opinion was more important than everyone else's.",sarcasm
"Oh, you're a self-proclaimed genius? That explains why you're so insufferable.",sarcasm
"You know what they say: if at first you don't succeed, give up immediately.",sarcasm
I love it when people tell me what to do. It's like they think I don't already know how to make my own decisions.,sarcasm
"You're right, I'm sorry. Let me just change everything I believe in to match your opinions.",sarcasm
I'm not sure what's more impressive: your arrogance or your ignorance.,sarcasm
"Oh, you're an expert in that field? Well, I'm sure your extensive experience watching YouTube videos really paid off.",sarcasm
Congratulations on your latest accomplishment. I'm sure it must feel amazing to achieve something so insignificant.,sarcasm
"Wow, you really have a talent for stating the obvious. I never would have guessed that without you.",sarcasm
"Oh, you want my advice? Sure, let me just ignore everything you just said and tell you what I think anyway.",sarcasm
"I'm sorry, I didn't realize your ego needed constant validation.",sarcasm
"Oh, you're a master of your craft? That explains why you're so mediocre.",sarcasm
"You know what they say: if at first you don't succeed, blame someone else.",sarcasm
I love it when people try to tell me how to live my life. It's like they think they know me better than I do.,sarcasm
"You're right, I'm sorry. Let me just erase my entire personality and become a carbon copy of you.",sarcasm
I'm not sure what's more impressive: your delusion or your ignorance.,sarcasm
"Oh, you're an expert in that field? Well, I'm sure all those hours you spent playing video games really paid off.",sarcasm
Congratulations on your latest accomplishment. I'm sure it must feel amazing to achieve something so pointless.,sarcasm
"Wow, you really have a talent for stating the obvious. I never would have figured that out without you.",sarcasm
"Oh, you want my help? Sure, let me just drop everything I'm doing and cater to your every whim.",sarcasm
"I'm sorry, I didn't realize your opinion was the only one that mattered.",sarcasm
"Oh, you're a visionary? That explains why you're so out of touch with reality.",sarcasm
"You know what they say: if at first you don't succeed, give up and blame the system.",sarcasm
I love it when people give me unsolicited feedback. It's like they think I'm not already my own worst critic.,sarcasm
"You're right, I'm sorry. Let me just forget everything I believe in and bow down to your superiority.",sarcasm
I'm not sure what's more impressive: your arrogance or your stupidity.,sarcasm
"Oh, you're an expert in that field? Well, I'm sure your extensive experience binge-watching Netflix really paid off.",sarcasm
Congratulations on your latest achievement. I'm sure it must feel amazing to accomplish something so trivial.,sarcasm
"Wow, you really have a talent for stating the obvious. I never would have guessed that without you.",sarcasm
"Oh, you want my help? Sure, let me just abandon all my responsibilities and prioritize your needs above all else.",sarcasm
"I'm sorry, I didn't realize your opinions were the only ones that mattered.",sarcasm
"Oh, you're a visionary? That explains why your ideas never seem to work in the real world.",sarcasm
"You know what they say: if at first you don't succeed, blame the government.",sarcasm
I love it when people tell me what to do. It's like they think I don't have a brain of my own.,sarcasm
"You're right, I'm sorry. Let me just throw away my entire identity and follow your lead like a sheep.",sarcasm
I'm not sure what's more impressive: your narcissism or your ignorance.,sarcasm
"Oh, you're an expert in that field? Well, I'm sure your years of experience playing Candy Crush really paid off.",sarcasm
Congratulations on your latest accomplishment. I'm sure it must feel amazing to achieve something so unremarkable.,sarcasm
"Wow, you really have a talent for stating the obvious. I never would have figured that out without you.",sarcasm
"Oh, you want my help? Sure, let me just ignore my own needs and devote all my time and energy to yours.",sarcasm
"I'm sorry, I didn't realize your opinion was the only one that mattered in this conversation.",sarcasm
"Oh, you're a trendsetter? That explains why you always seem to be a step behind everyone else.",sarcasm
"You know what they say: if at first you don't succeed, blame your parents.",sarcasm
I love it when people try to tell me how to live my life. It's like they think they're the authority on my existence.,sarcasm
"You're right, I'm sorry. Let me just abandon all my principles and beliefs to be more like you.",sarcasm
I'm not sure what's more impressive: your arrogance or your lack of self-awareness.,sarcasm
"Oh, you're an expert in that field? Well, I'm sure all those hours you spent scrolling through Instagram really paid off.",sarcasm
Congratulations on your latest achievement. I'm sure it must feel amazing to accomplish something so mundane.,sarcasm
"Wow, you really have a talent for stating the obvious. I never would have known that without you.",sarcasm
"Oh, you want my help? Sure, let me just forget about all my own goals and aspirations and devote myself to your cause.",sarcasm
"I'm sorry, I didn't realize your opinion was the only one that mattered in this discussion.",sarcasm
"Oh, you're a pioneer? That explains why you always seem to be lost.",sarcasm
"You know what they say: if at first you don't succeed, blame the weather.",sarcasm
I love it when people give me unsolicited advice. It's like they think I'm incapable of making my own decisions.,sarcasm
"You're right, I'm sorry. Let me just abandon all my own ideas and follow your lead like a mindless drone.",sarcasm
I'm not sure what's more impressive: your arrogance or your complete lack of empathy.,sarcasm
"Oh, you're an expert in that field? Well, I'm sure all those hours you spent watching cat videos on YouTube really paid off.",sarcasm
Congratulations on your latest accomplishment. I'm sure it must feel amazing to achieve something so forgettable.,sarcasm
"Wow, you really have a talent for stating the obvious. I never would have figured that out without you.",sarcasm
"Oh, you want my help? Sure, let me just ignore all my own needs and put yours first.",sarcasm
"I'm sorry, I didn't realize your opinion was the only one that mattered in this argument.",sarcasm
"Oh, you're a visionary? That explains why your ideas are always so far-fetched and unrealistic.",sarcasm
"You know what they say: if at first you don't succeed, blame the economy.",sarcasm
I love it when people try to tell me what to do. It's like they think I need their guidance to function.,sarcasm
"You're right, I'm sorry. Let me just abandon all my principles and beliefs to be more like you.",sarcasm
I'm not sure what's more impressive: your arrogance or your complete lack of self-awareness.,sarcasm
"Oh, you're an expert in that field? Well, I'm sure all those hours you spent playing video games really prepared you for the real world.",sarcasm
Congratulations on your latest accomplishment. I'm sure it must feel amazing to achieve something so unremarkable.,sarcasm
"Wow, you really have a talent for stating the obvious. I never would have known that without you.",sarcasm
"Oh, you want my help? Sure, let me just forget about all my own aspirations and devote myself to your cause.",sarcasm
"I'm sorry, I didn't realize your opinion was the only one that mattered in this conversation.",sarcasm
"Oh, you're a game-changer? That explains why you always seem to be losing.",sarcasm
"You know what they say: if at first you don't succeed, blame the media.",sarcasm
I love it when people give me unsolicited feedback. It's like they think I'm incapable of self-improvement.,sarcasm
"You're right, I'm sorry. Let me just forget about all my own ideas and thoughts and follow your lead.",sarcasm
"Oh, don't mind me. I'll just sit here in the dark.",sarcasm
Thanks for offering to help. I can clearly handle this overwhelming task on my own.,sarcasm
I'm so glad I have all this free time to do your work for you.,sarcasm
"It's okay, I'll just clean up your mess like always.",sarcasm
"Don't worry, I'll just stay late again to finish your work.",sarcasm
"Sure, I'll just wait patiently while you ignore me.",sarcasm
"Oh, you're so clever. I never would have thought of doing it that way.",sarcasm
Thanks for the feedback. I'll be sure to ignore it completely.,sarcasm
"I'm sure you know best. After all, you're always right.",sarcasm
"Oh, I'm sorry. I didn't realize my feelings were inconveniencing you.",sarcasm
"Oh, don't worry about me, I'm just here to pick up the pieces after your last project.",sarcasm
"Great job on that report, it only took you twice as long as it should have.",sarcasm
"Thanks for finally joining us, we were all wondering if you were still alive.",sarcasm
"Wow, your contribution to the team has been invaluable. No, really, I can't think of anything we could have done without you.",sarcasm
"Oh, did you need that space? I had no idea, I'll just move my entire workstation for you.",sarcasm
"Thanks for being so helpful, I couldn't have done it without your constant interruptions and unsolicited advice.",sarcasm
"Thanks for showing up to the meeting, even though you clearly have more important things to do.",sarcasm
"I love how you always manage to make everyone else's job harder, it's such a unique talent.",sarcasm
"Wow, your attention to detail is truly inspiring. I mean, it's not like anyone else could have spotted that glaring error.",sarcasm
